Year,Zone,Site,Acropora,Massive,AllHard,SoftCoral,AllAlgae
2019,Fishing,HazardMid,0.00,0.12,0.16,0.02,0.33
2019,Fishing,HazardMid,0.07,0.13,0.24,0.13,0.00
2019,Fishing,HazardMid,0.05,0.04,0.13,0.04,0.02
2016,Fishing,HazardNth,0.01,0.15,0.20,0.05,0.05
2016,Fishing,HazardNth,0.05,0.07,0.16,0.12,0.00
2016,Fishing,HazardNth,0.07,0.08,0.19,0.02,0.00
2016,Fishing,HazardNth,0.03,0.15,0.22,0.13,0.18
2016,Fishing,HazardNth,0.02,0.07,0.13,0.02,0.00
2016,Fishing,HazardNth,0.09,0.15,0.28,0.02,0.00
2016,Fishing,HazardNth,0.08,0.03,0.16,0.07,0.03
2016,Fishing,HazardNth,0.02,0.09,0.15,0.00,0.00
2016,Fishing,HazardNth,0.10,0.18,0.32,0.05,0.00
2016,Fishing,HazardNth,0.00,0.20,0.24,0.02,0.02
2016,Fishing,HazardMid,0.03,0.13,0.20,0.13,0.00
2016,Fishing,HazardMid,0.02,0.11,0.17,0.03,0.02
2016,Fishing,HazardMid,0.04,0.09,0.17,0.00,0.00
2016,Fishing,HazardMid,0.08,0.10,0.22,0.18,0.00
2016,Fishing,HazardMid,0.00,0.18,0.22,0.05,0.00
2016,Fishing,HazardMid,0.05,0.07,0.16,0.02,0.00
2016,Fishing,HazardMid,0.08,0.03,0.16,0.17,0.00
2016,Fishing,HazardMid,0.02,0.12,0.18,0.02,0.02
2016,Fishing,HazardMid,0.10,0.10,0.24,0.28,0.17
2016,Fishing,HazardMid,0.03,0.12,0.19,0.15,0.05
2019,No-take,IrisPoint,0.31,0.21,0.56,0.08,0.00
2019,No-take,IrisPoint,0.35,0.27,0.66,0.03,0.00
2019,No-take,IrisPoint,0.23,0.21,0.48,0.08,0.00
2019,No-take,IrisPoint,0.42,0.32,0.78,0.17,0.02
2019,No-take,IrisPoint,0.32,0.29,0.65,0.31,0.03
2019,No-take,IrisPoint,0.23,0.25,0.52,0.25,0.03
2019,No-take,IrisPoint,0.33,0.31,0.68,0.22,0.03
2019,No-take,IrisPoint,0.21,0.22,0.47,0.32,0.02
2019,No-take,IrisPoint,0.20,0.25,0.49,0.17,0.01
2021,No-take,LittlePioneerSth,0.02,0.03,0.05,0.17,0.10
2021,No-take,LittlePioneerSth,0.02,0.17,0.19,0.17,0.26
