,Site,Example,Little Pioneer Bay North,Snapper point,Cattle Bay,Little Pioneer Bay North,Snapper Point,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Snapper point ,Snapper point ,Cattle bay ,Cattle bay ,Little Pioneer Bay North,Snapper Point,Cattle bay,Little Pioneer Bay North,Snapper Point,Cattle bay,Little Pioneer Bay North,Snapper Point,Cattle Bay,Pioneer Bay,Snapper Point,Cattle Bay,Little Pioneer Bay North,Snapper point,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Snapper Pont,Cattle Bay,Hazard Bay,SW Pelorus,Iris Pt,Hazard Bay,SW Pelorus,Iris,Hazard Bay,SW Pelorus,Iris Point,Hazard Bay,SW Pelorus,Iris Point,Hazard Bay,SW Peloris,Iris Point,Hazard Bay,SW Pelorus,Ires Point,Hazard,SW Pelorus,Iris point,Hazard Bay,South West Pelorus,Iris Point,Hazard Bay,SW Pelorus,Iris Point,SW Pelorus,Clam Garden,SW Pelorus,Clam Garden,SW Pelorus visit #2,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Garden,SW Pelorus visit #2,Clam Gard.,Little Pioneer Bay South,Little Pioneer Bay South,Little Pioneer Bay South,Little Pioneer Bay South,Southwest Pelorus vist #2,Clam Gardens,Little Pioneer Bay South,Little Pioneer bay South,Little Pioneer Bay South,Little Pioneer Bay South
Soft corals,Cervera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cladiella,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Clavularia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dendronephtya,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lobophytum,,0,4,0,0,13,7,5,0,5,3,0,5,5,0,0,0,0,1,0,5,0,0,2,28,4,1,0,3,0,0,3,0,0,0,0,0,0,0,0,5,3,0,12,3,5,0,0,3,0,2,0,0,8,0,0,0,1,2,8,13,0,5,3,0,0,2,0,0,12,0,4,2,3,3,0,1,0,11,6,24,0,0,0,4,1,0,2,2,0,4,5,0,1
,Nepthea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sarcophyton,,3,2,0,0,8,0,0,0,1,12,4,0,0,3,0,6,0,0,0,12,2,0,0,0,2,0,0,3,0,0,0,0,0,13,10,8,5,0,0,2,2,0,0,0,0,3,0,5,0,3,0,0,3,2,0,0,0,4,2,3,0,7,4,0,0,1,3,2,1,0,0,0,0,0,1,1,0,0,0,4,0,2,0,1,0,0,0,0,0,0,2,9,0
,Sinularia,,0,1,9,7,3,2,10,3,29,1,27,20,0,1,3,1,3,0,0,0,0,0,0,2,3,2,0,2,0,7,2,0,0,0,1,1,0,0,0,3,0,0,0,5,0,1,0,49,6,7,2,0,1,2,0,15,17,0,0,0,2,5,6,0,0,0,12,3,5,0,0,0,0,2,1,24,1,0,0,20,0,4,7,1,0,0,1,3,0,1,0,0,21
,Zoanthids (Briareum),,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macroalgae,Chlorodesmis,,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0,2,0,3,0,0,0,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
